Date,In,Out,Hour
2018-11-06,2018-11-06 09:55:06.851042,0.0,0.0
2018-11-02,2018-11-02 10:36:39.641521,2018-11-02 16:43:06.046716,6.1
2018-11-01,2018-11-01 10:25:26.712038,2018-11-01 16:18:30.174236,6.0
2018-10-30,2018-10-30 09:56:04.861220,2018-10-30 17:53:38.658623,8.0
2018-10-26,2018-10-26 10:00:45.574531,2018-10-26 17:54:24.453211,8.0
2018-10-25,2018-10-25 09:54:55.788970,2018-10-25 12:45:20.311769,2.9
2018-10-23,2018-10-23 09:55:44.124776,2018-10-23 17:53:07.576756,8.1
2018-10-19,2018-10-19 13:24:21.991578,2018-10-19 17:24:16.860517,4.1
2018-10-18,2018-10-18 10:02:51.631509,2018-10-18 17:54:08.538760,7.9
2018-10-16,2018-10-16 09:58:04.460499,2018-10-16 17:55:34.720242,8.0
2018-10-12,2018-10-12 09:59:54.425019,2018-10-12 17:24:11.497789,7.4
2018-10-11,2018-10-11 09:53:58.039799,2018-10-11 17:55:31.023451,8.0
2018-10-09,2018-10-09 10:05:15.572605,2018-10-09 12:53:54.228424,2.8
2018-10-05,2018-10-05 10:13:59.196648,2018-10-05 16:13:11.837481,6.0
2018-10-04,2018-10-04 10:00:14.481,2018-10-04 16:43:53.615,6.7
2018-10-02,2018-10-02 09:50:34.000,2018-10-02 17:53:49.000,8.0
